currency_code,currency_decimals,entity_name,currency_short_name,currency_short_name_plural,default_image_id,image_hash
currency,currencies,128 world currencies,
AED,2,United Arab Emirates dirham,dirham,dirhams,,5cba8c75abee80035d20522ac3b94fa5436299edc7096176610d1a1c6f2cd5e1
AFN,2,Afghan afghani,afghani,afghanis,,e4b6e78c64f86de79f9165d3d5608fad25150fabff5129fe1d4ad34dcf3e15f9
ALL,2,Albanian lek,lek,leks,,c97412a3772701a4886fd33b5ab37859d246616cd44318864d403564ce41df4d
AMD,2,Armenian dram,dram,drams,,efb03948a1103217f1f28e82184093bbe2a1540c8aa2ffc29a759d47bde77755
ANG,2,Netherlands Antillean guilder,guilder,guilders,,fe554fe9291f8518217cc0747c92063a034984bd880334a352d78d689fd4a97f
ARS,2,Argentine peso,peso,pesos,48,ba08dd46daf0c6d177d4328827748bba8e5d90c6fc86f0a4a11df62c8bbd042d
AUD,2,Australian dollar,dollar,dollars,,92cef5e20e80a6344a5f606965c3f6e4c9e2de23a9d838a0391a2b62cae1b482
AZN,2,Azerbaijani manat,manat,manats,,2c821d6eea3808cb36e4ec87a5c4b319116b4e953f2858622c9171a003159159
BBD,2,Barbados dollar,dollar,dollars,,33c366f2a3175c41c21a21f8b71154a402a170f298e53fd3de7c3fcde32c3236
BDT,2,Bangladeshi taka,taka,taka,82,658f350c115f4c678c30418b562c671871b8a563fdb4b229100cd970a8c33152
BGN,2,Bulgarian lev,lev,leva,,721aa6b5444489a476f714a28edc42891eafd29c7677cfeefc7316841d64ccc1
BHD,3,Bahraini dinar,dinar,dinars,,5d12f56d1d628090c5faea33863370e659a49bdf4b74e930b38d915c6d8e25aa
BIF,0,Burundian franc,franc,francs,,cdb17f4b339fc2e950eb0d65e9b016f0573f9feaf41b743f5cfe280e48395ea2
BND,2,Brunei dollar,dollar,dollars,,f8ccc3dce8b17287e259689fa7f492ae73d4f92862c17d9fa4fb6a79dfee6b08
BOB,2,Boliviano,boliviano,bolivianos,,e116c24dff1f73b56cf4fe9105ff4a4cae40a3312b18badbffd842f2c4ec5145
BRL,2,Brazilian real,real,reais,4,52a50c775c4398239bdf87fc9ed9b5c7cc6d1a4bdae5b750f55678078e359479
BSD,2,Bahamian dollar,dollar,dollars,,e02ae288063b3b37cb3f7e566116f0b7838e8455bbbc561529f76934c5ea8c27
BTC,8,Bitcoin,bitcoin,bitcoins,,174f7f87a2fea28dc0d4f1e9456499bbc48c8ca1e434aae9813924b01643c3cc
BWP,2,Botswana pula,pula,pula,,9de17404070d62f6f738fbccb90e71015b505a0da653372899748e5043a7063a
BZD,2,Belize dollar,dollar,dollars,,ee69722f4143a75581451ea2d2d9cf6df7e3ce2a7d3c9ce3e4bfef54158377d8
CAD,2,Canadian dollar,dollar,dollars,,a101e8c1259da97b951a960b757335beb80c03fb4351b1636c4735d29542b7c7
CHF,2,Swiss franc,franc,francs,,81dfbf5eaacbfb316785a8936c7965e71b94ecb13520b302464140504f5e1006
CLP,0,Chilean peso,peso,pesos,,7840ba490b4b5bb90501d2ce9a9d6db7f87b4bfe718577e232bfc821bcf1fab3
CNY,2,Renminbi,yuan,yuan,1,63f893e8b41b46609209f9f4224d4618dc8bf7bc552c9822bcc457eff013a8b7
COP,2,Colombian peso,peso,pesos,93,27111087ee9bb203e547b5c6b8881a36dd11e6b5c816c3eb2d5e33b01ffaa96d
CRC,2,Costa Rican colon,colon,colones,,dc6b3be893c9adb9cbfab917efbc5f41c7ff3833f2fd2f68a440b495a764aedb
CUP,2,Cuban peso,peso,pesos,,23e85c773320d72715925950b2b9b69f8d6b39f04d535bb5d9294abaf2476e79
CZK,2,Czech koruna,koruna,koruny,,61fff8cb1f4acef6f3f5fee19be9de337fe96d2e5a348fd9471d82cf70813773
DJF,0,Djiboutian franc,franc,francs,,17eb71ff80622403a495c02cffc91b0cb1a0bdf2d7f9d4a400debc4213cfb0f9
DKK,2,Danish krone,krone,kroner,,66ba2264aef9f639454346a7ba13f26f105a3b1d34f92363eef1b9ccbfa23e38
DOP,2,Dominican peso,peso,pesos,,a88c5f8973da6c66811cc7b7cdb2900444a487da7ae8a80d74461754c71306f4
DZD,2,Algerian dinar,dinar,dinars,47,fba056e9947b0c1f55362156f01d26debc01f45e23585f54b21c654020b52456
EGP,2,Egyptian pound,pound,pounds,85,d1fac2d8b394c6bd4383573337680e2eb4593b0fe5a54a25fc6bdfebf8cc0beb
ETB,2,Ethiopian birr,birr,birr,83,a41db451827d39bc8fa9873f23dd905ff70a2b04ba46b78fff2f0a9b4e9e3ff7
EUR,2,Euro,euro,euros,,88d4a52c524dc8af8d4aa560d4f1fbbec1468405839cd8dd76533ebf6c6095f9
FJD,2,Fiji dollar,dollar,dollars,,d1cef2fdd6a419c3669c0e71622c351e5d68b0d671c6481e7b67aa168067a2be
GBP,2,Pound sterling,pound,pounds,12,c853879a6908cedae732a457c1a76609e54c3bd005c99a5bc9dfbef7812a62b6
GEL,2,Georgian lari,lari,lari,,2495dd11f2b2e5e8c872718bdf59af130d75d6d84a491e744e788d0fbf9bf028
GHS,2,Ghanaian cedi,cedi,cedis,,abc72b2cfe280e9984928f366b69ce968417537217f0b46a0f16aa710e959b76
GMD,2,Gambian dalasi,dalasi,dalasis,,d1bd6011d68e9be93b4df52dede8dd71a1f3c729bf99f3a470c8612a88bd3704
GNF,0,Guinean franc,franc,francs,,efca614f4a3fcc1410995efebd34dfc255878d57d37aba838cd8e6ac8b10d357
GTQ,2,Guatemalan quetzal,quetzal,quetzales,,c617d36d8784022d458e1fbc55ffadea28d2203c49d048091599a4a45f9d3501
HKD,2,Hong Kong dollar,dollar,dollars,,482b6493dd4758a41fe615dd77fbb06c5f8dfc8426690dca27681f778cc3ca98
HNL,2,Honduran lempira,lempira,lempiras,,c8df8f8d3f334b675d95bbdaa31d01065ad21cd11a3e7631888ef5937d12b0be
HTG,2,Haitian gourde,gourde,gourdes,,4a431edbfc5b36439db0d6ee5d54ea7dbbfef99fbf03e0ac9765fdb22bec02c4
HUF,2,Hungarian forint,forint,forints,,25d4f007843503bda1e1a154c6539c81f25316a926f943511e510166a6c8ad6f
IDR,2,Indonesian rupiah,rupiah,rupiah,5,7ae21e16919f0c58136d7e8d64d6294a54f9f74b205d28436786aeb52a0b1c15
ILS,2,Israeli new shekel,shekel,shekels,,93e48c0e44b90352c0c8fdc24b6002ff8c2f1e245e981f0468613575324ef1e9
INR,2,Indian rupee,rupee,rupees,3,95a38a318c48cf48cefad8e656ba5b1031d6cc76826eb6727640e14403474f9a
IQD,3,Iraqi dinar,dinar,dinars,,024dccbb806cb4d33bfd1bab89715b7daf7c6030c0770b7e91c714e01b4485a5
IRR,2,Iranian rial,rial,rials,16,fe178ffaf651de81cc8201a8e17c295462f58161ef5259d086bcb5f0608ab36f
ISK,0,Icelandic króna,króna,krónur,,c12c9d1d19c7ccd66d278c2fd65d99fa981cf33ffe19b591ab3709c997cbbcd1
JMD,2,Jamaican dollar,dollar,dollars,,3893e73fa859f9748cc5cf2c6228a04f7365e5d51ff0240f1f90c832f103d7f3
JOD,3,Jordanian dinar,dinar,dinars,,516f95be3f2ab46bf0f22cbc6d59bdc7ffd1a70440efec99676a614b1e7a26da
JPY,0,Japanese yen,yen,yen,6,3eaf238797b716371819bb2185ad239880f16e6914fb13f7c424d3d5ba287d79
KES,2,Kenyan shilling,shilling,shillings,94,3d3748f789ea385bba9d007088e677f59a4b8b12c65a70bdd89bbbe9bd330480
KGS,2,Kyrgyzstani som,som,som,,e36fb0fcef496fa3a77c635632247db2288df48aabddcab8e4bc792d1d84c66f
KHR,2,Cambodian riel,riel,riels,,8bdb8d3931066d9629a8cce7db9609b542020f4e25a07548437ef3242eb0521f
KMF,0,Comoro franc,franc,francs,,bb97740b09d0cffe861017b499814222c0106e1cd9163d18a8d84aac8db3737d
KRW,0,South Korean won,won,won,92,97bccc5962cbad72866bb329951d7e42f6253d65470d131afd9b913a4d646782
KWD,3,Kuwaiti dinar,dinar,dinars,,2ac0e1d1757fe42f76475d09899445cb404da0855b23735c46734fbc132d345a
KYD,2,Cayman Islands dollar,dollar,dollars,,2fd228bb623bc58b475c1e6b291c97d5213bde0ec0e6273950260bb97c6cd7b8
KZT,2,Kazakhstani tenge,tenge,tenge,,0d150a53da6d6e87707d3c85c226d1678600b4b8117323ed4b42b01cf03efa7a
LAK,2,Lao kip,kip,kip,,83981a5300aecb9d9eeba60fd5b3529e238f4c9bf2609617f938c13843026a3d
LBP,2,Lebanese pound,pound,pounds,,1e78416715bccdfffa0df2de7ebedd56645da6581fd37cf2d5e20713bd4cd00d
LKR,2,Sri Lankan rupee,rupee,rupees,,af61d573e34dd94b939dddbf87d4d7b126c025f39179fcd5357cd87423597fee
LSL,2,Lesotho loti,loti,maloti,,2968b1697a070564732a0b3747a4731f1f0ba9e201694a156a04ed67938a5590
LYD,3,Libyan dinar,dinar,dinars,,7078a0f2a66b74e9196cd65fb158e66f8531e01967080631eb0025ae271e380c
MAD,2,Moroccan dirham,dirham,dirhams,,4f99ec61438ba96150818b41f834e072885b2a5270731ea40d788c3560df8090
MDL,2,Moldovan leu,leu,lei,,3a072e5d893a1bf9647fd5b057dbcf1f8010ba2d719d07f9a585d6ec6220a7fe
MGA,2,Malagasy ariary,ariary,ariaries,,69679a977f5d81383c8c0d2347d04feb820629a5c640dfc6a293c21110c9f378
MKD,2,Macedonian denar,denar,denari,,d4e0abc3e59b5f6ab88698b3378caa63232ccd6a90b1e5328d2aeddc10453c74
MMK,2,Myanmar kyat,kyat,kyat,91,c6d2df0e1c531ea43f5d30f51a4d48d53ec2cd318b4ddea652a14ddf9bf57bd4
MOP,2,Macanese pataca,pataca,patacas,,a260fe8b9cbe66497958db4e14a3d95856096e041a109adb2dc5ea463a8a0558
MUR,2,Mauritian rupee,rupee,rupees,,cd2da2107d4bac1bc11c98e36e30a9d0bb131276eb51cdd499b99177947449c9
MVR,2,Maldivian rufiyaa,rufiyaa,rufiyaa,,42a8356f61ee3f221cce8c4e9309a100a830c4320e141fa69d7d4beea2087f23
MWK,2,Malawian kwacha,kwacha,kwacha,,27d874cd7dd24cb156e48ba3df99492c3b1ecf88344c8b0612af184c2d864dbb
MXN,2,Mexican peso,peso,pesos,9,d0cd32451d41cc2e9ac88ebbe58635703cf6bb1b3c247545d1e997ac14a4f265
MYR,2,Malaysian ringgit,ringgit,ringgits,,09c4abe5f3fac066068ff1af33ec7782c8db133127f6579910bbb9c9351b6dab
MZN,2,Mozambican metical,metical,meticals,,2711787dfc47e49503679a038f864f62857453f4a3f65c5bb9be620aeabefd8f
NGN,2,Nigerian naira,naira,naira,10,d568e859cc66f206bb374a863c2fc9fa8de3fb72592df7041dcea69f60b380bf
NIO,2,Nicaraguan córdoba,córdoba,córdobas,,9a4cd39a7393f8f938009e18fb953e3134fad4b339e96baddad1d7a51adf12c7
NOK,2,Norwegian krone,krone,kroner,,362b07e6345f6c079d898ef6f3e7b701ba780886a9c7e6b4df9961f241d6e332
NPR,2,Nepalese rupee,rupee,rupees,,f137d4de630c850b6709ee0f76f4291de9d3d05e99cfa97be1cb1736c1373a82
NZD,2,New Zealand dollar,dollar,dollars,,7cb2021024c9bc036c3045d058251570e9ef35fe756566c04dac64e3a8bec111
OMR,3,Omani rial,rial,rials,,e2607d1ec61019fde8f6c544bc12cb3d426969b121c869b5b6ed8e1bca9f81e5
PAB,2,Panamanian balboa,balboa,balboas,,42a57c48b82554deabb4b55076f2af1bb860cfa0ecdb29a9f498cb94184ba0fa
PEN,2,Peruvian sol,sol,soles,,acddf861c1e2b619628d16709be2b76fd21bd19f8fbb3926b573a5cb20715c5a
PGK,2,Papua New Guinean kina,kina,kina,,e4a0cb7b31896a7487a969bc9cbcb1ff49650db99beef3e929e749d4a44258eb
PHP,2,Philippine peso,peso,pesos,84,e3d413e5ae15453d4c7692b99a9d7ebf5a0c198d99b2f7507dd9be2f94e61e35
PKR,2,Pakistani rupee,rupee,rupees,13,8bb3362231be777746da5ceab2abdf0ad864725577298bd950e5f683032368d3
PLN,2,Polish zloty,zloty,zloty,,97d2b5bf6850838704657006ff36d8eaf74e6f6d80031f61e180040e142173be
PYG,0,Paraguayan guaraní,guaraní,guaraní,,eef5db148a28bae3b6096cc432a631ddf46e2ea060c0481e449726b4e1425540
QAR,2,Qatari riyal,riyal,riyals,,2f49b46cc828f41ee893d2bf26d0ca1b49dfa012eb6520dbb1692be9447b09ac
RON,2,Romanian leu,leu,lei,,644f71cb1742576b87c100a279947a98513072a302834b2d4b1b031c9bf80fe4
RSD,2,Serbian dinar,dinar,dinars,,494e1162f9096751c2745f820b69f52db2a805f0845ba57898621f8cd983ad29
RUB,2,Russian ruble,ruble,rubles,7,8c3c531486059f482fdc2c565a354be355563efb5dc8fa07c5dcb6b343a42cd2
RWF,0,Rwandan franc,franc,francs,,f0f3ab5d9a8621c63c1fbca87c7c32b640142405ead1d909a1248bb4fd7d8cc9
SAR,2,Saudi riyal,riyal,riyals,,c8ef1d4cda138d06eb40a669fd1962a8832518a4b5e4e304835974c47fbd0e43
SCR,2,Seychelles rupee,rupee,rupees,,4290d8dca3f2f051c756778d797523c8f0446eab65c199f8d91ab2ea70924e28
SDG,2,Sudanese pound,pound,pounds,,e80496dde97e7151d266948c9c120bf3776ebb28bac5df9cc0716bd41d4010e9
SEK,2,Swedish krona,krona,kronor,,39812aaed2e5fbab28e9544f35584ffe46a9c58aea9a3a8a0cbbbf37204b2f74
SGD,2,Singapore dollar,dollar,dollars,,46ede22dc47e7f5f5c1a345a36d7472ed48217807fdf386d20ccf4dff3f1b750
SOS,2,Somali shilling,shilling,shillings,,943b843ac1080998ef2dc63d5bf535d77c942d38c678b9265309a462d299fa32
SVC,2,Salvadoran colón,colón,colónes,,cef4e92ff4812d23eb8b98992e4f1e01e13cf0ed1d266264fbe8291265798ad2
SYP,2,Syrian pound,pound,pounds,,1f48edcaf1854da66ff1d4330539c9348b96a25d6d67e43b1a206269af6775e5
SZL,2,Swazi lilangeni,lilangeni,emalangeni,,df32204cc9a89d270a14875126187add67d72e5761669fbbd596a4fcc8887204
THB,2,Thai baht,baht,baht,88,6b37d5516e030db65e3a47812834ca40316a9d600f92178d3953607c1d32a74b
TJS,2,Tajikistani somoni,somoni,somonis,,f54adea544f41a66bc83ed46077b89e1d1391b98da7e115141dfa9961bb61757
TND,3,Tunisian dinar,dinar,dinars,,a8a1b7dc6bb018a7093abf40a221536a6a89b90538428b2c2a1882a88dea0ac9
TRY,2,Turkish lira,lira,lira,15,c593d26bd577727f2dee6881c4024b14c198c824bb6d0a4a6097b713b7a911a0
TTD,2,Trinidad and Tobago dollar,dollar,dollars,,e5f0c1184abe74ffac77d7be7820e59d696342b77ae2b7083eb315877cf6a003
TWD,2,New Taiwan dollar,dollar,dollars,,f54adea544f41a66bc83ed46077b89e1d1391b98da7e115141dfa9961bb61757
TZS,2,Tanzanian shilling,shilling,shillings,90,1cb5bfc65f53858c9ff7f4451543c97daadd40841b2f8f5d6e2479e747e4928a
UAH,2,Ukrainian hryvnia,hryvnia,hryvni,,6b22a647b4dbc25001e1e8addb75cbdf4e840b43d2ede7490763042980b2f9c2
UGX,0,Ugandan shilling,shilling,shillings,,2c9ab13a764d2bdc9399bd9fad0b2e6a5b60f8efce0249ddb0965c56c4c9ae28
UYU,2,Uruguayan peso,peso,pesos,,c812dcc030dc933818ee1d82b0857418b4d900307d08a13b5fb7a2f61f64cdc5
UZS,2,Uzbekistan sum,sum,sum,,45d32b46291d6e409d75bb681f3b4da42af44e0226a006cc6ccdafc59d383c36
VND,0,Vietnamese dong,dong,dong,86,6be51ad2a696f8399041566a425f339bf4b01c4e2704129aae1941245668e7d8
VUV,0,Vanuatu vatu,vatu,vatu,,f936fc1d29ae96b2bc91e7430e2a1bd135707f07ed1a48f6640cf9ec052f72e4
XAF,0,CFA franc BEAC,franc,francs,,7536d9abf2403fab8ad263b7ee44897feaef905960e5753b9df001a3844ff5cf
XAG,.,troy ounce of silver,silver ounce,silver ounces,,246da2a3abe2733eec0dfe12314db0092e8a7ae463b2529489f9c6825772fea1
XAU,.,troy ounce of gold,gold ounce,gold ounces,,fc2441477189e0706079d457bc76670c49bc3cfa3ee39b5314c444ac40346f68
XCD,2,East Caribbean dollar,dollar,dollars,,29505e9a056fd87e41377de84c4b983a74b7c07463da57b748f640824e53c15a
XOF,0,CFA franc BCEAO,franc,francs,,ee31b6e9a03e416151005133221c46ee22d9a723e4eeae2befc22008984367e4
XPF,0,CFP franc (franc Pacifique),franc,francs,,eef243bf6aa3c92b40542d671a3d90ea68960243ef718245d368b1f4b7f39c1a
YER,2,Yemeni rial,rial,rials,,153c943ea2205aeb6eab4bbfaa7a12ca310bdf16e97fac29ece4077cf2323e26
ZAR,2,South African rand,rand,rand,89,43ec6a6f6dd1368324bcd56c9f58d8031b30e6bc5f2dec2cfb499fa0b0992b37
