currency_code,currency_decimals,entity_name,currency_short_name,currency_short_name_plural,default_image_id,image_hash
currency,currencies,128 world currencies,
AED,2,United Arab Emirates dirham,dirham,dirhams,,5cba8c75abee80035d20522ac3b94fa5436299edc7096176610d1a1c6f2cd5e1
AUD,2,Australian dollar,dollar,dollars,,92cef5e20e80a6344a5f606965c3f6e4c9e2de23a9d838a0391a2b62cae1b482
BRL,2,Brazilian real,real,reais,4,52a50c775c4398239bdf87fc9ed9b5c7cc6d1a4bdae5b750f55678078e359479
BTC,8,Bitcoin,bitcoin,bitcoins,,174f7f87a2fea28dc0d4f1e9456499bbc48c8ca1e434aae9813924b01643c3cc
CAD,2,Canadian dollar,dollar,dollars,,a101e8c1259da97b951a960b757335beb80c03fb4351b1636c4735d29542b7c7
CHF,2,Swiss franc,franc,francs,,81dfbf5eaacbfb316785a8936c7965e71b94ecb13520b302464140504f5e1006
CLP,0,Chilean peso,peso,pesos,,7840ba490b4b5bb90501d2ce9a9d6db7f87b4bfe718577e232bfc821bcf1fab3
CNY,2,Renminbi,yuan,yuan,1,63f893e8b41b46609209f9f4224d4618dc8bf7bc552c9822bcc457eff013a8b7
CZK,2,Czech koruna,koruna,koruny,,61fff8cb1f4acef6f3f5fee19be9de337fe96d2e5a348fd9471d82cf70813773
DKK,2,Danish krone,krone,kroner,,66ba2264aef9f639454346a7ba13f26f105a3b1d34f92363eef1b9ccbfa23e38
EUR,2,Euro,euro,euros,,88d4a52c524dc8af8d4aa560d4f1fbbec1468405839cd8dd76533ebf6c6095f9
GBP,2,Pound sterling,pound,pounds,12,c853879a6908cedae732a457c1a76609e54c3bd005c99a5bc9dfbef7812a62b6
HKD,2,Hong Kong dollar,dollar,dollars,,482b6493dd4758a41fe615dd77fbb06c5f8dfc8426690dca27681f778cc3ca98
HUF,2,Hungarian forint,forint,forints,,25d4f007843503bda1e1a154c6539c81f25316a926f943511e510166a6c8ad6f
IDR,2,Indonesian rupiah,rupiah,rupiah,5,7ae21e16919f0c58136d7e8d64d6294a54f9f74b205d28436786aeb52a0b1c15
ILS,2,Israeli new shekel,shekel,shekels,,93e48c0e44b90352c0c8fdc24b6002ff8c2f1e245e981f0468613575324ef1e9
INR,2,Indian rupee,rupee,rupees,3,95a38a318c48cf48cefad8e656ba5b1031d6cc76826eb6727640e14403474f9a
JPY,0,Japanese yen,yen,yen,6,3eaf238797b716371819bb2185ad239880f16e6914fb13f7c424d3d5ba287d79
KRW,0,South Korean won,won,won,92,97bccc5962cbad72866bb329951d7e42f6253d65470d131afd9b913a4d646782
MXN,2,Mexican peso,peso,pesos,9,d0cd32451d41cc2e9ac88ebbe58635703cf6bb1b3c247545d1e997ac14a4f265
NZD,2,New Zealand dollar,dollar,dollars,,7cb2021024c9bc036c3045d058251570e9ef35fe756566c04dac64e3a8bec111
NOK,2,Norwegian krone,krone,kroner,,362b07e6345f6c079d898ef6f3e7b701ba780886a9c7e6b4df9961f241d6e332
PLN,2,Polish zloty,zloty,zloty,,97d2b5bf6850838704657006ff36d8eaf74e6f6d80031f61e180040e142173be
SAR,2,Saudi riyal,riyal,riyals,,c8ef1d4cda138d06eb40a669fd1962a8832518a4b5e4e304835974c47fbd0e43
SEK,2,Swedish krona,krona,kronor,,39812aaed2e5fbab28e9544f35584ffe46a9c58aea9a3a8a0cbbbf37204b2f74
SGD,2,Singapore dollar,dollar,dollars,,46ede22dc47e7f5f5c1a345a36d7472ed48217807fdf386d20ccf4dff3f1b750
THB,2,Thai baht,baht,baht,88,6b37d5516e030db65e3a47812834ca40316a9d600f92178d3953607c1d32a74b
TRY,2,Turkish lira,lira,lira,15,c593d26bd577727f2dee6881c4024b14c198c824bb6d0a4a6097b713b7a911a0
TWD,2,New Taiwan dollar,dollar,dollars,,f54adea544f41a66bc83ed46077b89e1d1391b98da7e115141dfa9961bb61757
XAU,8,troy ounce of gold,gold ounce,gold ounces,,fc2441477189e0706079d457bc76670c49bc3cfa3ee39b5314c444ac40346f68
XAG,8,troy ounce of silver,silver ounce,silver ounces,,246da2a3abe2733eec0dfe12314db0092e8a7ae463b2529489f9c6825772fea1
ZAR,2,South African rand,rand,rand,89,43ec6a6f6dd1368324bcd56c9f58d8031b30e6bc5f2dec2cfb499fa0b0992b37
